group	COc77203	COc77206	COc77229	COc77230	COc77243	COc77256	COc77265	COc77268	COcCcbulk	COcEcbulk	MRFc1	MRFc2	MRFc3	MRFcbulkc16S	NEc109	NEc118	NEc212	NEc215	NEc311	NEc317	NEc414	NEc416	NEcCcbulk	NEcEcbulk	SVERCc1c16S	SVERCc2c16S	SVERCc2	SVERCc3c16S	SVERCc3	SVERCcbulkc16S	WAcC1	WAcC2	WAcC3	WAcCcbulk	WAcE1	WAcE2	WAcE3	WAcEcbulk
methanotrophy	3	4	2	0	2	1	3	0	3	33	3	5	1	31	3	2	2	3	0	1	0	3	5	12	41	84	8	81	9	61	1	2	1	5	12	2	1	12
acetoclastic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_disproportionation_of_methyl_groups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_using_formate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_CO2_reduction_with_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_reduction_of_methyl_compounds_with_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrogenotrophic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanol_oxidation	1	9	3	3	9	6	8	2	7	5	5	1	0	1	5	2	6	2	5	0	1	1	9	10	3	21	0	9	3	16	1	0	1	4	0	3	0	2
methylotrophy	4	13	5	3	11	7	11	2	10	38	8	6	1	32	8	4	8	5	5	1	1	4	14	22	44	105	8	90	12	77	2	2	2	9	12	5	1	14
aerobic_ammonia_oxidation	87	282	126	85	144	78	119	97	444	669	165	117	188	1505	81	56	33	105	134	98	110	90	716	655	184	309	61	347	75	605	117	255	377	1715	386	334	177	1447
aerobic_nitrite_oxidation	14	19	21	3	14	12	18	8	83	203	44	44	39	403	28	27	21	11	14	52	32	16	172	126	140	298	20	214	19	199	20	29	70	493	72	81	42	295
nitrification	101	301	147	88	158	90	137	105	527	872	209	161	227	1908	109	83	54	116	148	150	142	106	888	781	324	607	81	561	94	804	137	284	447	2208	458	415	219	1742
sulfate_respiration	0	1	2	1	0	4	3	2	7	26	0	2	1	31	1	7	3	2	1	4	1	4	19	11	10	27	0	29	0	17	0	0	0	0	0	0	0	0
sulfur_respiration	19	35	33	21	34	21	24	30	109	429	54	48	27	323	71	48	35	52	43	59	33	28	344	247	269	487	57	304	51	202	16	13	8	268	49	46	23	260
dark_sulfite_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfite_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thiosulfate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
respiration_of_sulfur_compounds	19	36	35	22	34	25	27	32	116	455	54	50	28	354	72	55	38	54	44	63	34	32	363	258	279	514	57	333	51	219	16	13	8	268	49	46	23	260
arsenate_detoxification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenate_reduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_detoxification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenite_oxidation_energy_yielding	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenite_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anammox	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrate_denitrification	4	20	20	8	10	15	19	10	53	148	23	33	13	358	64	24	14	39	22	31	30	44	237	150	256	433	36	484	45	484	9	29	29	233	29	20	31	228
nitrite_denitrification	4	20	20	8	10	15	19	10	53	148	23	33	13	358	64	24	14	39	22	31	30	44	237	150	256	433	36	484	45	484	9	29	29	233	29	20	31	228
nitrous_oxide_denitrification	4	20	20	8	10	15	19	10	53	148	23	33	13	358	64	24	14	39	22	31	30	44	237	150	256	433	36	484	45	484	9	29	29	233	29	20	31	228
denitrification	4	20	20	8	10	15	19	10	53	148	23	33	13	358	64	24	14	39	22	31	30	44	237	150	256	433	36	484	45	484	9	29	29	233	29	20	31	228
chitinolysis	3	19	11	5	5	4	14	10	17	71	3	5	5	10	4	8	4	3	5	7	11	2	13	8	24	27	3	43	5	33	0	1	3	0	0	6	0	7
knallgas_bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dark_hydrogen_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrogen_fixation	0	5	2	2	1	1	5	1	19	29	7	12	7	86	7	10	11	2	4	5	6	1	26	25	51	84	7	92	7	70	5	5	11	74	11	12	3	23
nitrate_ammonification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nitrite_ammonification	0	0	2	0	0	0	3	0	17	21	0	2	0	32	4	4	0	0	4	0	2	1	14	14	23	36	1	48	0	29	0	2	0	7	0	5	0	6
nitrite_respiration	4	20	22	8	10	15	22	10	70	169	23	35	13	390	68	28	14	39	26	31	32	45	251	164	279	469	37	532	45	513	9	31	29	240	29	25	31	234
cellulolysis	39	59	68	40	50	45	49	90	275	588	22	25	33	342	48	71	70	66	54	46	37	59	510	320	364	467	39	486	53	393	65	28	50	436	55	58	79	283
xylanolysis	0	0	0	1	1	0	0	0	3	5	0	0	0	0	2	0	1	1	1	0	1	1	5	1	0	1	0	3	1	0	0	0	0	0	0	0	0	0
dark_sulfide_oxidation	0	3	1	1	0	4	0	1	0	6	0	0	0	17	5	2	2	0	0	1	3	2	5	0	24	7	2	6	1	5	0	1	0	0	1	5	0	9
