group	COc77203	COc77206	COc77229	COc77230	COc77243	COc77256	COc77265	COc77268	COcCcbulk	COcEcbulk	MRFc1	MRFc2	MRFc3	MRFcbulkc16S	NEc109	NEc118	NEc212	NEc215	NEc311	NEc317	NEc414	NEc416	NEcCcbulk	NEcEcbulk	SVERCc1c16S	SVERCc2c16S	SVERCc2	SVERCc3c16S	SVERCc3	SVERCcbulkc16S	WAcC1	WAcC2	WAcC3	WAcCcbulk	WAcE1	WAcE2	WAcE3	WAcEcbulk
methanotrophy	2	10	6	8	1	10	6	8	25	47	28	24	19	108	1	1	7	11	4	14	9	1	25	36	57	49	9	34	4	55	4	9	13	119	17	8	15	72
acetoclastic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_disproportionation_of_methyl_groups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_using_formate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_CO2_reduction_with_H2	0	3	0	2	2	3	0	6	8	37	0	0	0	0	4	1	0	1	0	0	1	3	17	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_reduction_of_methyl_compounds_with_H2	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrogenotrophic_methanogenesis	0	4	0	2	2	3	0	6	8	41	0	0	0	0	4	1	0	2	0	0	1	4	17	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis	0	4	0	2	2	3	0	6	8	41	0	0	0	0	4	1	0	2	0	0	1	4	17	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanol_oxidation	109	454	154	108	162	206	164	152	382	554	28	25	50	560	130	121	234	123	302	78	152	116	595	755	328	500	47	718	96	655	53	35	194	420	129	90	75	521
methylotrophy	111	464	160	116	163	216	170	160	407	601	56	49	69	668	131	122	241	134	306	92	161	117	620	791	385	549	56	752	100	710	57	44	207	539	146	98	90	593
aerobic_ammonia_oxidation	208	404	347	109	271	350	400	313	1747	4280	525	406	421	2959	340	308	362	273	300	428	278	330	2558	1878	2403	4335	394	5560	740	3752	207	452	446	5348	507	446	302	3120
aerobic_nitrite_oxidation	288	330	300	120	226	279	431	247	1722	3598	143	241	179	1307	381	343	334	286	255	259	290	284	2937	2343	2492	4397	323	4880	475	4233	45	61	75	1070	141	198	74	984
nitrification	496	734	647	229	497	629	831	560	3469	7878	668	647	600	4266	721	651	696	559	555	687	568	614	5495	4221	4895	8732	717	10440	1215	7985	252	513	521	6418	648	644	376	4104
sulfate_respiration	3	2	3	0	0	0	0	3	6	10	1	1	0	1	0	10	1	0	2	1	0	0	18	12	156	169	10	113	20	124	0	0	0	9	1	0	0	0
sulfur_respiration	207	235	255	115	148	147	172	193	844	2282	386	539	351	1858	397	348	357	222	310	258	194	210	2064	1068	1819	3811	368	3101	396	2102	43	42	65	951	78	110	63	685
dark_sulfite_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfite_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thiosulfate_respiration	0	0	1	0	2	0	0	0	3	14	0	0	0	0	1	3	2	1	0	2	0	0	3	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0
