group	COc77203	COc77206	COc77229	COc77230	COc77243	COc77256	COc77265	COc77268	COcCcbulk	COcEcbulk	MRFc1	MRFc2	MRFc3	MRFcbulkc16S	NEc109	NEc118	NEc212	NEc215	NEc311	NEc317	NEc414	NEc416	NEcCcbulk	NEcEcbulk	SVERCc1c16S	SVERCc2c16S	SVERCc2	SVERCc3c16S	SVERCc3	SVERCcbulkc16S	WAcC1	WAcC2	WAcC3	WAcCcbulk	WAcE1	WAcE2	WAcE3	WAcEcbulk
methanotrophy	46	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
acetoclastic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_disproportionation_of_methyl_groups	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_using_formate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_CO2_reduction_with_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis_by_reduction_of_methyl_compounds_with_H2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hydrogenotrophic_methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
methanol_oxidation	231	523	267	99	670	190	185	289	557	561	58	53	61	441	29	18	40	33	80	25	43	131	140	115	187	332	42	475	57	344	96	87	208	662	115	83	73	441
methylotrophy	277	523	268	99	670	190	185	291	557	561	58	53	61	441	29	18	40	33	80	25	43	131	140	131	187	332	42	475	57	344	96	87	208	662	115	83	73	441
aerobic_ammonia_oxidation	392	722	931	275	654	784	897	739	4136	9006	721	714	715	4477	892	887	433	575	669	610	498	583	4848	3120	2384	4771	407	4464	611	3077	285	763	782	6926	738	542	473	3458
aerobic_nitrite_oxidation	63	90	122	33	93	91	102	81	582	1534	141	227	204	1474	188	223	125	115	175	182	219	221	1262	777	1048	2300	178	2118	184	1361	42	29	68	846	89	145	36	622
nitrification	455	812	1053	308	747	875	999	820	4718	10540	862	941	919	5951	1080	1110	558	690	844	792	717	804	6110	3897	3432	7071	585	6582	795	4438	327	792	850	7772	827	687	509	4080
sulfate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfur_respiration	355	429	522	251	363	477	522	491	2998	4789	57	82	54	246	333	498	410	369	393	226	278	240	3019	2038	4319	6961	390	5528	691	4271	1	0	2	58	8	11	5	98
dark_sulfite_oxidation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sulfite_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
thiosulfate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
respiration_of_sulfur_compounds	355	429	522	251	363	477	522	491	2998	4789	57	82	54	246	333	498	410	369	393	226	278	240	3019	2038	4319	6961	390	5528	691	4271	1	0	2	58	8	11	5	98
arsenate_detoxification	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
arsenate_respiration	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dissimilatory_arsenate_reduction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
