US_query	Br_subject	p_ident	length	mismatch	apopen	q_start	q_end	s_start	s_end	Evalue	bitscore
OTU_dn_4	OTU_dn_5063	100	254	0	0	1	254	170	423	3.00E-137	470
OTU_dn_8	OTU_dn_744	100	253	0	0	1	253	175	427	1.00E-136	468
OTU_dn_31	OTU_dn_43	100	253	0	0	1	253	172	424	1.00E-136	468
OTU_dn_58	OTU_dn_304	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_60	OTU_dn_1303	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_76	OTU_dn_22	100	253	0	0	1	253	172	424	1.00E-136	468
OTU_dn_93	OTU_dn_5539	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_100	OTU_dn_1214	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_107	OTU_dn_459	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_115	OTU_dn_795	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_137	OTU_dn_1565	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_140	OTU_dn_4212	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_156	OTU_dn_247	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_176	OTU_dn_284	100	253	0	0	1	253	178	430	1.00E-136	468
OTU_dn_183	OTU_dn_1113	100	253	0	0	1	253	191	443	1.00E-136	468
OTU_dn_192	OTU_dn_49	100	253	0	0	1	253	186	438	1.00E-136	468
OTU_dn_199	OTU_dn_494	100	253	0	0	1	253	187	439	1.00E-136	468
OTU_dn_208	OTU_dn_214	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_235	OTU_dn_171	100	253	0	0	1	253	188	440	1.00E-136	468
OTU_dn_239	OTU_dn_48	100	254	0	0	1	254	168	421	3.00E-137	470
OTU_dn_242	OTU_dn_677	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_308	OTU_dn_622	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_313	OTU_dn_242	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_325	OTU_dn_3675	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_332	OTU_dn_683	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_349	OTU_dn_146	100	254	0	0	1	254	169	422	3.00E-137	470
OTU_dn_356	OTU_dn_5967	100	253	0	0	1	253	190	442	1.00E-136	468
OTU_dn_361	OTU_dn_645	100	253	0	0	1	253	191	443	1.00E-136	468
OTU_dn_381	OTU_dn_6009	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_391	OTU_dn_182	100	252	0	0	1	252	194	445	4.00E-136	466
OTU_dn_401	OTU_dn_514	100	253	0	0	1	253	170	422	1.00E-136	468
OTU_dn_409	OTU_dn_386	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_420	OTU_dn_13	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_439	OTU_dn_180	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_469	OTU_dn_4678	100	253	0	0	1	253	195	447	1.00E-136	468
OTU_dn_471	OTU_dn_1325	100	253	0	0	1	253	187	439	1.00E-136	468
OTU_dn_487	OTU_dn_5636	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_498	OTU_dn_4372	100	253	0	0	1	253	188	440	1.00E-136	468
OTU_dn_507	OTU_dn_1359	100	253	0	0	1	253	186	438	1.00E-136	468
OTU_dn_528	OTU_dn_110	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_533	OTU_dn_2108	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_585	OTU_dn_4205	100	253	0	0	1	253	188	440	1.00E-136	468
OTU_dn_622	OTU_dn_142	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_628	OTU_dn_3129	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_658	OTU_dn_1669	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_672	OTU_dn_729	100	253	0	0	1	253	191	443	1.00E-136	468
OTU_dn_673	OTU_dn_2493	100	253	0	0	1	253	194	446	1.00E-136	468
OTU_dn_741	OTU_dn_4687	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_758	OTU_dn_1486	100	253	0	0	1	253	169	421	1.00E-136	468
OTU_dn_761	OTU_dn_871	100	253	0	0	1	253	185	437	1.00E-136	468
OTU_dn_773	OTU_dn_2379	100	253	0	0	1	253	193	445	1.00E-136	468
OTU_dn_775	OTU_dn_4217	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_792	OTU_dn_2998	100	253	0	0	1	253	189	441	1.00E-136	468
OTU_dn_873	OTU_dn_413	100	253	0	0	1	253	190	442	1.00E-136	468
